epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.3179,3.81916,5.80049,4.46905,0,0,0,0,4.0431,5.56597,4.16082,0.00017148,0.00017148,0.00017148
2,112.92,3.63468,5.0545,4.26248,0,0,0,0,4.06718,5.57363,4.16744,0.000353713,0.000353713,0.000353713
3,164.823,3.02768,3.97749,3.96108,0,0,0,0,4.15019,5.51438,4.20076,0.000532268,0.000532268,0.000532268
4,214,2.67991,3.25248,3.48467,0,0,0,0,4.31536,5.39265,4.29112,0.000707145,0.000707145,0.000707145
5,262.759,2.46906,2.86827,3.13749,0,0,0,0,4.46825,5.40853,4.40149,0.000878343,0.000878343,0.000878343
6,311.721,2.28509,2.88663,2.76385,0,0,0,0,4.59508,5.41185,4.53213,0.00104586,0.00104586,0.00104586
7,361.047,2.21446,2.46825,2.68037,0,0,0,0,4.59328,5.43009,4.555,0.00120971,0.00120971,0.00120971
8,409.773,2.22494,2.69131,2.60215,0,0,0,0,4.52989,5.35035,4.54231,0.00132997,0.00132997,0.00132997
9,458.259,2.1717,2.26891,2.43234,0,0,0,0,4.44141,5.37838,4.48679,0.00131582,0.00131582,0.00131582
10,506.6,2.06883,2.13181,2.308,0,0,0,0,3.45913,5.23072,3.96396,0.00130168,0.00130168,0.00130168
11,555.52,2.06726,2.07623,2.2849,0,0,0,0,2.50328,5.27926,3.37544,0.00128753,0.00128753,0.00128753
12,604.214,1.89245,1.91244,2.20323,0.44542,0.33949,0.44663,0.2236,1.92373,3.16503,2.51683,0.00127338,0.00127338,0.00127338
13,653.125,1.86829,1.81214,2.07417,0.5962,0.50877,0.47702,0.19934,1.73811,2.94033,2.36525,0.00125923,0.00125923,0.00125923
14,702.112,1.93073,1.75584,2.14395,0.78253,0.78243,0.79858,0.38701,1.67101,1.83888,2.22606,0.00124509,0.00124509,0.00124509
15,750.748,1.79046,1.66275,1.98625,0.57274,0.91481,0.91835,0.43023,1.66506,1.89299,2.2309,0.00123094,0.00123094,0.00123094
16,799.476,1.82549,1.59764,2.03799,0.85588,0.86812,0.9569,0.48612,1.57668,1.77933,2.11136,0.00121679,0.00121679,0.00121679
17,848.068,1.77877,1.55591,1.93504,0.65497,0.77654,0.76779,0.32075,1.78295,2.05293,2.22055,0.00120265,0.00120265,0.00120265
18,896.866,1.77129,1.60478,1.97356,0.80562,0.87331,0.97315,0.51368,1.53173,1.79506,2.05636,0.0011885,0.0011885,0.0011885
19,945.753,1.75254,1.47945,1.96122,0.70825,0.91485,0.93652,0.50554,1.48451,1.78419,2.00687,0.00117435,0.00117435,0.00117435
20,994.219,1.71892,1.52139,1.92669,0.92618,0.93487,0.96851,0.52392,1.50833,1.40922,1.98143,0.00116021,0.00116021,0.00116021
21,1042.41,1.65656,1.37308,1.82897,0.93575,0.92238,0.969,0.49168,1.50711,1.41968,1.96795,0.00114606,0.00114606,0.00114606
22,1090.57,1.69701,1.35808,1.92964,0.96903,0.93034,0.98575,0.54414,1.41871,1.30556,1.91862,0.00113191,0.00113191,0.00113191
23,1139.46,1.63906,1.27243,1.82974,0.99244,0.87455,0.98901,0.51684,1.50746,1.30151,1.96357,0.00111776,0.00111776,0.00111776
24,1187.69,1.711,1.28456,1.87041,0.98134,0.91456,0.97419,0.5152,1.57016,1.33993,2.02799,0.00110362,0.00110362,0.00110362
25,1235.94,1.62614,1.25624,1.79556,0.89047,0.80122,0.93223,0.46313,1.68277,1.72115,2.13943,0.00108947,0.00108947,0.00108947
26,1284,1.73361,1.53013,1.89441,0.95136,0.9536,0.98431,0.54745,1.4084,1.20183,1.88232,0.00107532,0.00107532,0.00107532
27,1331.93,1.58315,1.19618,1.83293,0.91521,0.89678,0.98017,0.56102,1.40584,1.31777,1.91951,0.00106118,0.00106118,0.00106118
28,1379.69,1.6072,1.08814,1.76939,0.95001,0.95026,0.98707,0.56008,1.41941,1.1749,1.90403,0.00104703,0.00104703,0.00104703
29,1428.44,1.65883,1.13633,1.84798,0.98209,0.97967,0.99458,0.57141,1.43914,1.10445,1.90334,0.00103288,0.00103288,0.00103288
30,1476.6,1.54312,1.11544,1.79286,0.98892,0.96491,0.99386,0.56917,1.40893,1.00626,1.89439,0.00101873,0.00101873,0.00101873
